author,color,group,id
Prince,"#735bcc,#6650b4,#59449c,#4b3984,#3e2d6c",,0
JohnQuidor,"#B79A59,#826C37,#54442F,#DBCEAF,#C4AA52",Q,0
MelRamos,"#C13E43,#376EA5,#565654,#F9D502,#E7CA6B",R,0
OdilonRedon,"#695B8F,#B26C61,#C2AF46,#4D5E30,#8B1F1D",R,0
Rembrandt,"#DBC99A,#A68329,#5B5224,#8A350C,#090A04",,0
Pierre-AugusteRenoir,"#2B5275,#A69F55,#F1D395,#FFFBDD,#D16647",R,0
Pierre-AugusteRenoir,"#303241,#B7A067,#C8C2B2,#686D4F,#4D3930",R,1
BridgetRiley,"#FAB9AC,#7BBC53,#DE6736,#67C1EC,#E6B90D",R,0
JamesRosenquist,"#E25D75,#3F4C8C,#6A79B0,#D7BC1F,#DCCFAB",R,0
MarkRothko,"#E49A16,#E19713,#D67629,#DA6E2E,#D85434",R,0
MarkRothko,"#D5D6D1,#BEC0BF,#5B382C,#39352C,#1B1B1B",R,1
JohnSingerSargent,"#b43a35,#3e501e,#f8f2f4,#6b381d,#20242d",S,0
JohnSingerSargent,"#778BD0,#E2D76B,#95BF78,#4E6A3D,#5F4F38",S,1
JohnSingerSargent,"#EEC7A0,#EAA69C,#BD7C96,#A1A481,#D97669",S,2
OskarSchlemmer,"#3A488A,#8785B2,#DABD61,#D95F30,#BE3428",S,0
GeorgesSeurat,"#3F3F63,#808EB7,#465946,#8C9355,#925E48",S,0
SandySkoglund,"#d7f96e,#457d24,#879387,#e1c39f,#394835",S,0
PavelTchelitchew,"#ac2527,#f8cc5a,#5c8447,#61221a,#2b4868",T,0
J.M.W.Turner,"#F1ECCE,#9EA3B5,#E9D688,#A85835,#AE8045",M,0
CyTwombly,"#F2788F,#F591EA,#F0C333,#F5C2AF,#F23B3F",T,0
JohannJacobUlrich,"#FDDDAB,#E7A974,#A87250,#7B533D,#6A4531",J,0
TheovanDoesburg,"#BD748F,#3D578E,#BFAB68,#DAD7D0,#272928",D,0
TheovanDoesburg,"#53628D,#B8B45B,#C1C3B6,#984F48,#2E3432",D,1
JanvanEyck,"#3C490C,#3B5B71,#262121,#7C6C4E,#6C2B23",E,0
VincentvanGogh,"#1a3431,#2b41a7,#6283c8,#ccc776,#c7ad24",G,0
VincentvanGogh,"#FBDC30,#A7A651,#E0BA7A,#9BA7B0,#5A5F80",G,1
VincentvanGogh,"#374D8D,#93A0CB,#82A866,#C4B743,#A35029",G,2
RemediosVaro,"#C8DAAD,#989E53,#738D60,#DEBC31,#9D471A",V,0
DiegoVelázquez,"#413A2C,#241F1A,#C5B49B,#A57F5B,#5C351E",V,0
