index,db,name,tissue,ann,ann_simplify,CL,translate
HCL_Liver_Pre B cell,HCL,Fetal-Liver1,Liver,Pre B cell,Pre B cell,B cell,B细胞
MCA_Liver_Pre B cell,MCA,Fetal-Liver,Liver,Pre B cell,Pre B cell,B cell,B细胞
MCA_Liver_Pre B cell,MCA,Neonatal-Liver,Liver,Pre B cell,Pre B cell,B cell,B细胞
MCA_Liver_Pre B cell,MCA,Ten-Days-Liver,Liver,Pre B cell,Pre B cell,B cell,B细胞
MCA_Muscle_Pre B cell,MCA,Neonatal-Muscle,Muscle,Pre B cell,Pre B cell,B cell,B细胞
MCA_Pancreas_Pre B cell,MCA,Neonatal-Pancreas,Pancreas,Pre B cell,Pre B cell,B cell,B细胞
MCA_Pancreas_Pre B cell,MCA,Ten-Days-Pancreas,Pancreas,Pre B cell,Pre B cell,B cell,B细胞
MCA_Pancreas_Pre B cell,MCA,Three-Weeks-Pancreas,Pancreas,Pre B cell,Pre B cell,B cell,B细胞
MCA_Peripheral-Blood_Pre B cell,MCA,Peripheral-Blood,Peripheral-Blood,Pre B cell,Pre B cell,B cell,B细胞
MCA_Rib_Pre B cell,MCA,Neonatal-Rib,Rib,Pre B cell,Pre B cell,B cell,B细胞
MCA_Muscle_Pre B cell_Vpreb3 high,MCA,Adult-Muscle,Muscle,Pre B cell_Vpreb3 high,Pre B cell,B cell,B细胞
MCA_Testis_Pre sertoli cell,MCA,Fetal-Testis,Testis,Pre sertoli cell,Pre sertoli cell,Sertoli cell,塞尔托利氏细胞
