index,db,name,tissue,ann,ann_simplify,CL,translate
MCA_Kidney_S3 proximal tubule cell,MCA,Adult-Kidney,Kidney,S3 proximal tubule cell,S3 proximal tubule cell,kidney tubule cell,肾小管细胞
MCA_Kidney_S3 proximal tubule cell,MCA,One-Year-Kidney,Kidney,S3 proximal tubule cell,S3 proximal tubule cell,kidney tubule cell,肾小管细胞
MCA_Kidney_S3 proximal tubule cell,MCA,Ten-Days-Kidney,Kidney,S3 proximal tubule cell,S3 proximal tubule cell,kidney tubule cell,肾小管细胞
MCA_Kidney_S3 proximal tubule cell_Kap high,MCA,Three-Weeks-Kidney,Kidney,S3 proximal tubule cell_Kap high,S3 proximal tubule cell,kidney tubule cell,肾小管细胞
MCA_Kidney_S3 proximal tubule cell_Serpina6 high,MCA,Three-Weeks-Kidney,Kidney,S3 proximal tubule cell_Serpina6 high,S3 proximal tubule cell,kidney tubule cell,肾小管细胞
MCA_Pancreas_Schwann,MCA,Pancreatic-Islet,Pancreas,Schwann,Schwann,neural cell,神经细胞
HCL_Intestine_Schwann cell,HCL,Adult-Ascending-Colon1,Intestine,Schwann cell,Schwann cell,unknow_HCL,unknow_HCL
HCL_Intestine_Schwann cell,HCL,Adult-Sigmoid-Colon1,Intestine,Schwann cell,Schwann cell,unknow_HCL,unknow_HCL
HCL_Intestine_Schwann cell,HCL,Adult-Rectum1,Intestine,Schwann cell,Schwann cell,unknow_HCL,unknow_HCL
HCL_Intestine_Schwann cell,HCL,Adult-Transverse-Colon1,Intestine,Schwann cell,Schwann cell,unknow_HCL,unknow_HCL
HCL_Pancreas_Schwann cell,HCL,Adult-Pancreas_Baron,Pancreas,Schwann cell,Schwann cell,neural cell,神经细胞
HCL_Placenta_SCT,HCL,Placenta_VentoTormo,Placenta,SCT,SCT,?,?
MCA_Heart_Secretory cell_Scgb3a2 high,MCA,Ten-Days-Heart,Heart,Secretory cell_Scgb3a2 high,Secretory cell,epithelial cell,上皮细胞
HCL_Testis_Sertoli cell,HCL,Testis_Guo,Testis,Sertoli cell,Sertoli cell,Sertoli cell,塞尔托利氏细胞
MCA_Testis_Sertoli cell,MCA,Neonatal-Testis,Testis,Sertoli cell,Sertoli cell,Sertoli cell,塞尔托利氏细胞
MCA_Testis_Sertoli cell,MCA,Two-Years-Testis,Testis,Sertoli cell,Sertoli cell,Sertoli cell,塞尔托利氏细胞
MCA_Testis_Sertoli cell_8030411F24Rik high,MCA,Ten-Days-Testis,Testis,Sertoli cell_8030411F24Rik high,Sertoli cell,Sertoli cell,塞尔托利氏细胞
MCA_Testis_Sertoli cell_Clu high,MCA,Three-Weeks-Testis,Testis,Sertoli cell_Clu high,Sertoli cell,Sertoli cell,塞尔托利氏细胞
MCA_Testis_Sertoli cell_Cst9 high,MCA,Ten-Days-Testis,Testis,Sertoli cell_Cst9 high,Sertoli cell,Sertoli cell,塞尔托利氏细胞
MCA_Testis_Sertoli cell_Ctsl high,MCA,Three-Weeks-Testis,Testis,Sertoli cell_Ctsl high,Sertoli cell,Sertoli cell,塞尔托利氏细胞
HCL_Liver_Sinusoidal endothelial cell,HCL,Adult-Liver1,Liver,Sinusoidal endothelial cell,Sinusoidal endothelial cell,endothelial cell,内皮细胞
HCL_Liver_Sinusoidal endothelial cell,HCL,Adult-Liver2,Liver,Sinusoidal endothelial cell,Sinusoidal endothelial cell,endothelial cell,内皮细胞
HCL_Liver_Sinusoidal endothelial cell_FCN1 high,HCL,Adult-Liver4,Liver,Sinusoidal endothelial cell_FCN1 high,Sinusoidal endothelial cell,endothelial cell,内皮细胞
HCL_Liver_Sinusoidal endothelial cell_FCN3 high,HCL,Adult-Liver4,Liver,Sinusoidal endothelial cell_FCN3 high,Sinusoidal endothelial cell,endothelial cell,内皮细胞
MCA_Calvaria_Skeletal muscle cell,MCA,Neonatal-Calvaria,Calvaria,Skeletal muscle cell,Skeletal muscle cell,cell of skeletal muscle,骨骼肌细胞
MCA_Muscle_Skeletal muscle cell,MCA,Neonatal-Muscle,Muscle,Skeletal muscle cell,Skeletal muscle cell,cell of skeletal muscle,骨骼肌细胞
MCA_Rib_Skeletal muscle cell,MCA,Neonatal-Rib,Rib,Skeletal muscle cell,Skeletal muscle cell,cell of skeletal muscle,骨骼肌细胞
MCA_Brain_Slc17a6/Bdnf neuron,MCA,Arc-ME,Brain,Slc17a6/Bdnf neuron,Slc17a6/Bdnf neuron,neural cell,神经细胞
MCA_Brain_Slc17a6/Rgs16 neuron,MCA,Arc-ME,Brain,Slc17a6/Rgs16 neuron,Slc17a6/Rgs16 neuron,neural cell,神经细胞
MCA_Muscle_Slow skeletal muscle cell_Tnnc1 high,MCA,Adult-Muscle,Muscle,Slow skeletal muscle cell_Tnnc1 high,Slow skeletal muscle cell,cell of skeletal muscle,骨骼肌细胞
HCL_Adrenal-Gland_Smooth muscle cell,HCL,Adult-Adrenal-Gland2,Adrenal-Gland,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Adrenal-Gland_Smooth muscle cell,HCL,Neonatal-Adrenal-Gland1,Adrenal-Gland,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Adrenal-Gland_Smooth muscle cell,MCA,Adult-Adrenal-Gland,Adrenal-Gland,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Bladder_Smooth muscle cell,HCL,Adult-Bladder2,Bladder,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Bladder_Smooth muscle cell,HCL,Adult-Bladder1,Bladder,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Bladder_Smooth muscle cell,MCA,One-Year-Bladder,Bladder,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Bone-Marrow_Smooth muscle cell,MCA,Bone-Marrow-Mesenchyme,Bone-Marrow,Smooth muscle cell,Smooth muscle cell,fibroblast,成纤维细胞
HCL_Brain_Smooth muscle cell,HCL,Adult-Cerebellum1,Brain,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Brain_Smooth muscle cell,HCL,Adult-Temporal-Lobe1,Brain,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Calvaria_Smooth muscle cell,MCA,Neonatal-Calvaria,Calvaria,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Heart_Smooth muscle cell,HCL,Fetal-Heart2,Heart,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Heart_Smooth muscle cell,HCL,Adult-Heart2,Heart,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Heart_Smooth muscle cell,HCL,Adult-Heart1,Heart,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Heart_Smooth muscle cell,MCA,Eighteen-Months-Heart,Heart,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Heart_Smooth muscle cell,MCA,Neonatal-Heart,Heart,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Heart_Smooth muscle cell,MCA,One-Year-Heart,Heart,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Heart_Smooth muscle cell,MCA,Three-Weeks-Heart,Heart,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Intestine_Smooth muscle cell,HCL,Fetal-Intestine1,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Intestine_Smooth muscle cell,HCL,Adult-Ileum2,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Intestine_Smooth muscle cell,HCL,Adult-Ascending-Colon1,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Intestine_Smooth muscle cell,HCL,Adult-Sigmoid-Colon1,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Intestine_Smooth muscle cell,HCL,Adult-Rectum1,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Intestine_Smooth muscle cell,HCL,Adult-Transverse-Colon1,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Intestine_Smooth muscle cell,HCL,Adult-JeJunum2,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Intestine_Smooth muscle cell,HCL,Adult-Transverse-Colon2,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Intestine_Smooth muscle cell,MCA,Fetal-Intestine,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Intestine_Smooth muscle cell,MCA,Ten-Days-Intestine,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Intestine_Smooth muscle cell,MCA,Three-Weeks-Intestine,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Intestine_Smooth muscle cell,MCA,Two-Years-Intestine,Intestine,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Kidney_Smooth muscle cell,HCL,Adult-Kidney3,Kidney,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Kidney_Smooth muscle cell,HCL,Adult-Kidney4,Kidney,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Kidney_Smooth muscle cell,MCA,Eighteen-Months-Kidney,Kidney,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Kidney_Smooth muscle cell,MCA,One-Year-Kidney,Kidney,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Kidney_Smooth muscle cell,MCA,Two-Years-Kidney,Kidney,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Liver_Smooth muscle cell,HCL,Adult-Liver2,Liver,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Liver_Smooth muscle cell,MCA,Ten-Days-Liver,Liver,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Lung_Smooth muscle cell,HCL,Fetal-Lung2,Lung,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Lung_Smooth muscle cell,HCL,Adult-Lung1,Lung,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Lung_Smooth muscle cell,HCL,Adult-Lung3,Lung,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Lung_Smooth muscle cell,MCA,Eighteen-Months-Lung,Lung,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Lung_Smooth muscle cell,MCA,Fetal-Lung,Lung,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Lung_Smooth muscle cell,MCA,One-Year-Lung,Lung,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Lung_Smooth muscle cell,MCA,Ten-Days-Lung,Lung,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Lung_Smooth muscle cell,MCA,Three-Weeks-Lung,Lung,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Pancreas_Smooth muscle cell,HCL,Fetal-Pancreas3,Pancreas,Smooth muscle cell,Smooth muscle cell,smooth muscle cell,平滑肌细胞
